Date,STOCKS,STOCKS_TR,BONDS,GOLD
1969-08-21,95.350000,107.119778,0.997965,41.050000
1969-08-22,95.920000,107.774325,0.995835,41.050000
1969-08-25,94.930000,106.676249,0.995303,40.950000
1969-08-26,94.300000,105.982424,0.992384,40.880000
1969-08-27,94.490000,106.209999,0.990268,40.950000
1969-08-28,94.890000,106.673680,0.987366,40.950000
1969-08-29,95.510000,107.384801,0.987634,40.860000
1969-09-02,95.540000,107.432734,0.984741,40.730000
1969-09-03,94.980000,106.817235,0.979495,40.830000
1969-09-04,94.200000,105.954152,0.978197,40.930000
1969-09-05,93.640000,105.338290,0.976120,40.900000
1969-09-08,92.700000,104.294789,0.973267,40.910000
1969-09-09,93.380000,105.073637,0.972760,41.050000
1969-09-10,94.950000,106.854139,0.974588,40.950000
1969-09-11,94.220000,106.046750,0.972521,40.930000
1969-09-12,94.130000,105.959479,0.970459,41.050000
1969-09-15,94.870000,106.806490,0.969955,41.000000
1969-09-16,94.950000,106.910682,0.966348,41.000000
1969-09-17,94.760000,106.710888,0.966622,40.980000
1969-09-18,94.900000,106.882658,0.956843,40.850000
1969-09-19,95.190000,107.223412,0.956353,40.900000
1969-09-22,95.630000,107.733216,0.958160,40.880000
1969-09-23,95.630000,107.747465,0.958436,40.840000
1969-09-24,95.500000,107.615243,0.957945,40.840000
1969-09-25,94.770000,106.806868,0.955922,40.750000
1969-09-26,94.160000,106.133517,0.948552,40.750000
1969-09-29,93.410000,105.302183,0.945036,40.630000
1969-09-30,93.120000,104.989190,0.940780,40.680000
1969-10-01,92.520000,104.326467,0.940307,40.750000
1969-10-02,93.240000,105.152013,0.945854,40.880000
1969-10-03,93.190000,105.109400,0.951430,40.950000
1969-10-06,93.380000,105.337472,0.953992,40.750000
1969-10-07,93.090000,105.024136,0.957323,40.780000
1969-10-08,92.670000,104.564050,0.959133,40.730000
1969-10-09,93.030000,104.983954,0.958643,40.790000
1969-10-10,93.560000,105.595809,0.965056,40.730000
1969-10-14,95.700000,108.024938,0.974597,40.700000
1969-10-15,95.720000,108.061665,0.973312,40.730000
1969-10-16,96.370000,108.809629,0.979816,40.630000
1969-10-17,96.260000,108.699684,0.984009,40.530000
1969-10-20,96.460000,108.939770,0.996877,40.350000
1969-10-21,97.200000,109.789781,1.001933,40.300000
1969-10-22,97.830000,110.515764,0.999797,40.050000
1969-10-23,97.460000,110.112263,0.992069,40.000000
1969-10-24,98.120000,110.872369,0.992340,40.050000
1969-10-27,97.970000,110.717398,0.990230,40.150000
1969-10-28,97.660000,110.381567,0.984957,40.050000
1969-10-29,96.810000,109.435302,0.985231,39.980000
1969-10-30,96.930000,109.585288,0.988657,39.930000
1969-10-31,97.120000,109.814451,0.990512,39.750000
1969-11-03,97.150000,109.862670,0.993955,39.550000
1969-11-05,97.640000,110.431093,0.988661,39.400000
1969-11-06,97.670000,110.479401,0.985770,39.000000
1969-11-07,98.260000,111.161164,0.987622,38.530000
1969-11-10,98.330000,111.254828,0.987896,38.130000
1969-11-12,97.890000,110.771478,0.982638,37.750000
1969-11-13,97.420000,110.254052,0.978196,37.800000
1969-11-14,97.070000,109.872299,0.981603,37.880000
1969-11-17,96.410000,109.139558,0.977952,37.830000
1969-11-18,96.390000,109.131127,0.971188,37.550000
1969-11-19,95.900000,108.590567,0.969135,36.650000
1969-11-20,94.910000,107.483697,0.964762,36.300000
1969-11-21,94.320000,106.829528,0.967357,36.130000
1969-11-24,93.240000,105.620198,0.968411,35.500000
1969-11-25,92.940000,105.294117,0.967915,35.450000
1969-11-26,93.270000,105.681691,0.966646,35.600000
1969-11-28,93.810000,106.307310,0.967700,35.600000
1969-12-01,93.220000,105.653342,0.967980,35.550000
1969-12-02,92.650000,105.021859,0.963613,35.300000
1969-12-03,91.650000,103.902780,0.960811,35.380000
1969-12-04,91.950000,104.257188,0.964167,35.250000
1969-12-05,91.730000,104.022091,0.964448,35.200000
1969-12-08,90.840000,103.027145,0.960872,35.050000
1969-12-09,90.550000,102.712418,0.953467,35.000000
1969-12-10,90.480000,102.647152,0.946886,35.050000
1969-12-11,90.520000,102.706659,0.944898,35.200000
1969-12-12,90.810000,103.049837,0.946696,35.300000
1969-12-15,90.540000,102.757628,0.944709,35.130000
1969-12-16,89.720000,101.841119,0.938194,35.050000
1969-12-17,89.200000,101.264884,0.935479,35.080000
1969-12-18,90.610000,102.879533,0.932025,35.010000
1969-12-19,91.380000,103.767958,0.933805,35.000000
1969-12-22,90.580000,102.873788,0.936335,35.150000
1969-12-23,90.230000,102.490444,0.932129,35.110000
1969-12-29,91.250000,103.663147,0.915885,35.200000
1969-12-30,91.600000,104.075027,0.922039,35.200000
1969-12-31,92.060000,104.611998,0.928969,35.200000
1970-01-02,93.000000,105.694704,0.930746,35.080000
1970-01-05,93.460000,106.232186,0.929547,35.180000
1970-01-06,92.820000,105.519490,0.923889,35.050000
1970-01-07,92.630000,105.318162,0.921963,35.000000
1970-01-08,92.680000,105.389650,0.924468,34.950000
1970-01-09,92.400000,105.085901,0.932156,34.900000
1970-01-12,91.700000,104.304402,0.935430,34.980000
1970-01-13,91.920000,104.569140,0.936468,34.890000
1970-01-14,91.650000,104.276520,0.933013,34.850000
1970-01-15,91.680000,104.325147,0.934050,34.800000
1970-01-16,90.920000,103.474824,0.941814,34.750000
1970-01-19,89.650000,102.043837,0.946624,34.750000
1970-01-20,89.830000,102.262905,0.944641,34.800000
1970-01-21,89.950000,102.413728,0.947197,34.850000
1970-01-22,90.040000,102.530434,0.949002,35.000000
1970-01-23,89.370000,101.781742,0.947772,34.990000
1970-01-26,88.170000,100.429233,0.946545,34.980000
1970-01-27,87.620000,99.816720,0.947592,35.000000
1970-01-28,86.790000,98.885059,0.947882,34.990000
1970-01-29,85.690000,97.645507,0.942863,35.010000
1970-01-30,85.020000,96.895601,0.944662,34.990000
1970-02-02,85.750000,97.741537,0.952510,34.990000
1970-02-03,86.770000,98.918269,0.958133,35.000000
1970-02-04,86.240000,98.328327,0.964554,35.000000
1970-02-05,85.900000,97.954846,0.968699,35.000000
1970-02-06,86.330000,98.459313,0.975960,35.000000
1970-02-09,87.010000,99.249047,0.982491,35.010000
1970-02-10,86.100000,98.225354,0.979631,35.030000
1970-02-11,86.940000,99.197811,0.979132,35.000000
1970-02-13,86.540000,98.755716,0.993516,34.990000
1970-02-16,86.470000,98.690073,0.992208,34.990000
1970-02-17,86.370000,98.590170,0.994078,34.980000
1970-02-18,87.440000,99.825774,0.996746,34.950000
1970-02-19,87.760000,100.205494,0.999420,34.980000
1970-02-20,88.030000,100.528230,0.997303,34.990000
1970-02-24,87.990000,100.497045,0.995989,34.990000
1970-02-25,89.350000,102.064846,1.004239,35.000000
1970-02-26,88.900000,101.565525,1.012553,35.000000
1970-02-27,89.500000,102.265649,1.016072,35.020000
1970-03-02,89.710000,102.520114,1.012286,35.000000
1970-03-03,90.230000,103.128914,1.009326,35.010000
1970-03-04,90.040000,102.926387,1.011221,34.980000
1970-03-05,90.000000,102.895267,1.010692,34.990000
1970-03-06,89.440000,102.269631,1.012589,34.950000
1970-03-09,88.510000,101.220740,1.010438,34.950000
1970-03-10,88.750000,101.509569,1.006677,34.960000
1970-03-11,88.690000,101.455347,1.001320,34.990000
1970-03-12,88.330000,101.057927,0.997598,34.990000
1970-03-13,87.860000,100.534543,0.992295,35.030000
1970-03-16,86.910000,99.461763,0.991785,35.050000
1970-03-17,87.290000,99.910757,0.982549,35.070000
1970-03-18,87.540000,100.211080,0.989125,35.130000
1970-03-19,87.420000,100.087931,1.006028,35.230000
1970-03-20,87.060000,99.689966,1.007115,35.140000
1970-03-23,86.990000,99.623957,1.008202,35.150000
1970-03-24,87.980000,100.771876,1.010904,35.220000
1970-03-25,89.770000,102.836433,1.016038,35.270000
1970-03-26,89.920000,103.022858,1.014693,35.310000
1970-03-31,89.630000,102.705219,1.007152,35.300000
1970-04-01,90.070000,103.224454,1.010658,35.380000
1970-04-02,89.790000,102.918684,1.007706,35.380000
1970-04-03,89.390000,102.475277,1.003152,35.340000
1970-04-06,88.760000,101.768068,1.001029,35.280000
1970-04-07,88.520000,101.507806,1.000513,35.300000
1970-04-08,88.490000,101.488276,1.001598,35.380000
1970-04-09,88.530000,101.549021,1.001082,35.390000
1970-04-10,88.240000,101.231252,1.002168,35.380000
1970-04-13,87.640000,100.557748,1.000048,35.400000
1970-04-14,86.890000,99.711934,0.998734,35.750000
1970-04-15,86.730000,99.542932,0.995025,35.600000
1970-04-16,85.880000,98.581943,0.989740,35.750000
1970-04-17,85.670000,98.355326,0.985277,35.750000
1970-04-20,85.830000,98.553428,0.982414,35.800000
1970-04-21,85.380000,98.051159,0.977988,35.880000
1970-04-22,84.270000,96.790791,0.969673,35.950000
1970-04-23,83.040000,95.392219,0.967639,35.850000
1970-04-24,82.770000,95.096032,0.961739,35.800000
1970-04-27,81.460000,93.604881,0.960495,35.740000
1970-04-28,80.270000,92.251178,0.956948,35.850000
1970-04-29,81.810000,94.034555,0.958009,35.850000
1970-04-30,81.520000,93.714999,0.955240,35.850000
1970-05-01,81.440000,93.638563,0.953243,35.880000
1970-05-04,79.370000,91.274025,0.946677,35.940000
1970-05-05,78.600000,90.403667,0.948490,36.220000
1970-05-06,79.470000,91.419301,0.953341,36.230000
1970-05-07,79.830000,91.848583,0.956689,36.230000
1970-05-08,79.440000,91.415090,0.960047,36.200000
1970-05-11,78.600000,90.463616,0.957271,36.100000
1970-05-12,77.850000,89.615407,0.956037,35.980000
1970-05-13,76.530000,88.110769,0.955569,35.950000
1970-05-14,75.440000,86.870430,0.955103,35.950000
1970-05-15,76.900000,88.566042,0.957693,35.980000
1970-05-18,76.960000,88.649822,0.960289,35.960000
1970-05-19,75.460000,86.936673,0.960586,35.970000
1970-05-20,73.520000,84.716028,0.957041,35.950000
1970-05-21,72.160000,83.162960,0.953511,35.930000
1970-05-22,72.250000,83.280466,0.946945,35.890000
1970-05-26,69.290000,79.882363,0.930190,35.830000
1970-05-27,72.770000,83.907590,0.945376,35.740000
1970-05-28,74.610000,86.043112,0.948702,35.650000
1970-05-29,76.550000,88.294655,0.951279,35.450000
1970-06-01,77.840000,89.797312,0.959951,35.400000
1970-06-02,77.840000,89.812303,0.964857,35.250000
1970-06-03,78.520000,90.611885,0.966699,35.130000
1970-06-04,77.360000,89.288375,0.963903,35.190000
1970-06-05,76.170000,87.929791,0.958033,35.210000
1970-06-08,76.290000,88.082997,0.957566,35.530000
1970-06-09,76.250000,88.051518,0.958632,35.510000
